pair_id,population,check,passed
N0,P,sum_to_one,True
N0,P,strictly_positive,True
N0,P,row_margin,True
N0,P,column_margin,True
N0,P,target_mi,True
N0,P,plugin_probability_mi,True
N0,P,delta_reconstruction,True
N0,Q,sum_to_one,True
N0,Q,strictly_positive,True
N0,Q,row_margin,True
N0,Q,column_margin,True
N0,Q,target_mi,True
N0,Q,plugin_probability_mi,True
N0,Q,delta_reconstruction,True
N1,P,sum_to_one,True
N1,P,strictly_positive,True
N1,P,row_margin,True
N1,P,column_margin,True
N1,P,target_mi,True
N1,P,plugin_probability_mi,True
N1,P,delta_reconstruction,True
N1,Q,sum_to_one,True
N1,Q,strictly_positive,True
N1,Q,row_margin,True
N1,Q,column_margin,True
N1,Q,target_mi,True
N1,Q,plugin_probability_mi,True
N1,Q,delta_reconstruction,True
N2,P,sum_to_one,True
N2,P,strictly_positive,True
N2,P,row_margin,True
N2,P,column_margin,True
N2,P,target_mi,True
N2,P,plugin_probability_mi,True
N2,P,delta_reconstruction,True
N2,Q,sum_to_one,True
N2,Q,strictly_positive,True
N2,Q,row_margin,True
N2,Q,column_margin,True
N2,Q,target_mi,True
N2,Q,plugin_probability_mi,True
N2,Q,delta_reconstruction,True
N3,P,sum_to_one,True
N3,P,strictly_positive,True
N3,P,row_margin,True
N3,P,column_margin,True
N3,P,target_mi,True
N3,P,plugin_probability_mi,True
N3,P,delta_reconstruction,True
N3,Q,sum_to_one,True
N3,Q,strictly_positive,True
N3,Q,row_margin,True
N3,Q,column_margin,True
N3,Q,target_mi,True
N3,Q,plugin_probability_mi,True
N3,Q,delta_reconstruction,True
N4,P,sum_to_one,True
N4,P,strictly_positive,True
N4,P,row_margin,True
N4,P,column_margin,True
N4,P,target_mi,True
N4,P,plugin_probability_mi,True
N4,P,delta_reconstruction,True
N4,Q,sum_to_one,True
N4,Q,strictly_positive,True
N4,Q,row_margin,True
N4,Q,column_margin,True
N4,Q,target_mi,True
N4,Q,plugin_probability_mi,True
N4,Q,delta_reconstruction,True
N5,P,sum_to_one,True
N5,P,strictly_positive,True
N5,P,row_margin,True
N5,P,column_margin,True
N5,P,target_mi,True
N5,P,plugin_probability_mi,True
N5,P,delta_reconstruction,True
N5,Q,sum_to_one,True
N5,Q,strictly_positive,True
N5,Q,row_margin,True
N5,Q,column_margin,True
N5,Q,target_mi,True
N5,Q,plugin_probability_mi,True
N5,Q,delta_reconstruction,True
N6,P,sum_to_one,True
N6,P,strictly_positive,True
N6,P,row_margin,True
N6,P,column_margin,True
N6,P,target_mi,True
N6,P,plugin_probability_mi,True
N6,P,delta_reconstruction,True
N6,Q,sum_to_one,True
N6,Q,strictly_positive,True
N6,Q,row_margin,True
N6,Q,column_margin,True
N6,Q,target_mi,True
N6,Q,plugin_probability_mi,True
N6,Q,delta_reconstruction,True
N7,P,sum_to_one,True
N7,P,strictly_positive,True
N7,P,row_margin,True
N7,P,column_margin,True
N7,P,target_mi,True
N7,P,plugin_probability_mi,True
N7,P,delta_reconstruction,True
N7,Q,sum_to_one,True
N7,Q,strictly_positive,True
N7,Q,row_margin,True
N7,Q,column_margin,True
N7,Q,target_mi,True
N7,Q,plugin_probability_mi,True
N7,Q,delta_reconstruction,True
balanced_mild_dim0p04,P,sum_to_one,True
balanced_mild_dim0p04,P,strictly_positive,True
balanced_mild_dim0p04,P,row_margin,True
balanced_mild_dim0p04,P,column_margin,True
balanced_mild_dim0p04,P,target_mi,True
balanced_mild_dim0p04,P,plugin_probability_mi,True
balanced_mild_dim0p04,P,delta_reconstruction,True
balanced_mild_dim0p04,Q,sum_to_one,True
balanced_mild_dim0p04,Q,strictly_positive,True
balanced_mild_dim0p04,Q,row_margin,True
balanced_mild_dim0p04,Q,column_margin,True
balanced_mild_dim0p04,Q,target_mi,True
balanced_mild_dim0p04,Q,plugin_probability_mi,True
balanced_mild_dim0p04,Q,delta_reconstruction,True
balanced_mild_dim0p04,P,sum_to_one,True
balanced_mild_dim0p04,P,strictly_positive,True
balanced_mild_dim0p04,P,row_margin,True
balanced_mild_dim0p04,P,column_margin,True
balanced_mild_dim0p04,P,target_mi,True
balanced_mild_dim0p04,P,plugin_probability_mi,True
balanced_mild_dim0p04,P,delta_reconstruction,True
balanced_mild_dim0p04,Q,sum_to_one,True
balanced_mild_dim0p04,Q,strictly_positive,True
balanced_mild_dim0p04,Q,row_margin,True
balanced_mild_dim0p04,Q,column_margin,True
balanced_mild_dim0p04,Q,target_mi,True
balanced_mild_dim0p04,Q,plugin_probability_mi,True
balanced_mild_dim0p04,Q,delta_reconstruction,True
balanced_mild_dim0p04,P,sum_to_one,True
balanced_mild_dim0p04,P,strictly_positive,True
balanced_mild_dim0p04,P,row_margin,True
balanced_mild_dim0p04,P,column_margin,True
balanced_mild_dim0p04,P,target_mi,True
balanced_mild_dim0p04,P,plugin_probability_mi,True
balanced_mild_dim0p04,P,delta_reconstruction,True
balanced_mild_dim0p04,Q,sum_to_one,True
balanced_mild_dim0p04,Q,strictly_positive,True
balanced_mild_dim0p04,Q,row_margin,True
balanced_mild_dim0p04,Q,column_margin,True
balanced_mild_dim0p04,Q,target_mi,True
balanced_mild_dim0p04,Q,plugin_probability_mi,True
balanced_mild_dim0p04,Q,delta_reconstruction,True
implementation,pair,swap_statistic_sign,True
implementation,pair,swap_expanded_p,True
implementation,pair,relabel_expanded_p,True
implementation,pair,bias_df_is_one,True
